,Type,District,Storage name,Address,Manager Name,Mobile No,Capacity in MT
154,Cold Storages,Akola,Shri Jayantilal Shyamji Hariya,"S No. 180/1, At: Hatgaon, Tal: Murtizapur, Dist: Akola",,,1000.0
155,Cold Storages,Akola,Shri M.Shafi M. Suleman,"Sno-3,Gno-9,Mz.Wankhedpur,Tq.Barshitaqli",,,989.04
156,Cold Storages,Akola,Shri Madhukar Atmaramji Dhotre,"At: Palso ( Badhe), Tal Dist: Akola",,,400.0
157,Cold Storages,Akola,"Shri Madhukar Manganiram Kadu,Village:Parala","Village:parala,Tq:Akot",,,192.0
158,Cold Storages,Akola,Shri Madhusudan Hiralal Tiwari,"GUT No 183 Mouje Soundala Tal Telhara,Dist Akola",,,245.12
159,Cold Storages,Akola,Shri Mahadeoappa Falurappa Punewar,Poha,,,102.0
160,Cold Storages,Akola,Shri Nagorao Motiram Aherkar,"AT Kotha, Tq. Telhara, Dist. Akola",,,114.0
161,Cold Storages,Akola,Shri Nandlal Shivnarayan Mundada,Gut No 334 Mouje Khandala Tal Telhara Akola,,,122.64
162,Cold Storages,Akola,Shri Pandurang Bhagwantrao Kokate & One,"Property-14 &18.Karatwadi,Tq.Akot",,,203.271
163,Cold Storages,Akola,Shri Panjabrao Bhagwantrao Nare,"Mouza: Sawargaon, Tal: Akot, Dist; Akola",,,200.0
164,Cold Storages,Akola,Shri Prakash Dnyandeo Wakode,"Sno-52/2,Gadegaon,Tq:Telhara",,,322.084
165,Cold Storages,Akola,Shri Pramod Bhujangrao Hingankar,"At Kalwadi,Tq.Akot",,,120.341
166,Cold Storages,Akola,Shri Pramod Deolal Barde,"Gno-26,Mz:Yeota,Tq.&Dist.Akola",,,100.489
167,Cold Storages,Akola,Shri Prashant Suresh Kawale & Shri Suresh Chintaman Kawale,"S. No. 472, Mouze: Bhamberi, Tal: Telhara, Dist: Akola",,,106.0
168,Cold Storages,Akola,Shri Ramakant Narayanprasad Jhunjhunwala,"Gno-258,At Sukali,Tq.Akot,Akola",,,620.49
169,Cold Storages,Akola,Shri Rameshchandra Deorao Kale,"Mz:Ukali(Bazar),Tq.Telhara",,,101.455
170,Cold Storages,Akola,Shri Ramnarayan Lokhande,"Fso.02/01,Mz:Haldoli, Tah: Barshitakli",,,165.0
171,Cold Storages,Akola,Shri Sadashiv Pandharinath Mhaisne,"At Takli Bk. Tq. Akot, Dist. Akola",,,228.74
172,Cold Storages,Akola,Shri Santosh N. Gawande,"At Dahigaon (Gawande),Tq.Akola",,,102.871
173,Cold Storages,Akola,Shri Shivhari Devidas Parnate,"At Post Nirat, Tal & Dist. Akola",,,106.48
174,Cold Storages,Akola,Shri Suhasrao Bhagwantrao Tidake,"At Po: Murtizapur, Tal: Murtizapur, Dist: Akola",,,175.0
175,Cold Storages,Akola,Shri Suhasrao Bhagwantrao Tidke,"At Post: Murtizapur, Tal: Murtizapur, Dist: Akola",,,175.0
176,Cold Storages,Akola,Shri Tukaram M.Mankar,"Prop.No.31,Mz.Pimpri Jain,Tq.Akot",,,150.371
177,Cold Storages,Akola,Shri V.P.Korde,"At Karoda,Post:Chohotta,Tal:Akot",,,207.5
178,Cold Storages,Akola,Shri Vanayak Kondoji Barad,Yedshi,,,100.0
179,Cold Storages,Akola,Shri Vasantkumar Goenka,"F.S.143(P),Kandadi,Tq:Akola",,,6516.73
180,Cold Storages,Akola,Shri Vasantkumar Vinaykumar Goenka,"Gno-76,Shiloda,Tq.& Dist.Akola",,,3288.18
181,Cold Storages,Akola,Shri Vijay Shriramji Shelke,"At Post: Telhara, Tal: Telhara, Dist: Akola",,,250.0
182,Cold Storages,Akola,Shri Vijaykumar Pundikrao PAnde & One,"DHanakawadi,KAlwadi,Tq.Akot",,,157.895
183,Cold Storages,Akola,Shri Vilas Madhukar Mankar,"At: Wadegaon, Tal: Balapur, Dist: Akola",,,100.0
184,Cold Storages,Akola,Shri Vinaykumar Nathmal Goenka,"Gno-76,Mz:Shiloda,Tq.&Dist.Akola",,,
185,Cold Storages,Akola,Shri. A S Pagrut,Ghusar,,,111.0
186,Cold Storages,Akola,Shri. A.S. Mali & V. S. Mali,Wazegaon,,,150.0
187,Cold Storages,Akola,Shri. Akilbeg Gasam Ferbeg,Panchgavan,,,103.0
188,Cold Storages,Akola,Shri. B.Y Vikhe,Tembhi,,,101.0
189,Cold Storages,Akola,Shri. Bhikarji Fagoji Chute And Shrikrushna Bhikarji,Mouza Walad,,,100.0
190,Cold Storages,Akola,Shri. Gopalrao Namdeorao Pohare,Kaneri Sarap,,,704.0
191,Cold Storages,Akola,Shri. Mahendra Jaidas Gawai,Hardoli,,,200.0
192,Cold Storages,Akola,Shri. Navalkishor C. Bharatya,Kanheri Saraf,,,814.0
193,Cold Storages,Akola,Shri. Pandurang Laxman Nagre,Lothkhed,,,106.083
194,Cold Storages,Akola,Shri. R R Waghode,Sangwi,,,200.0
195,Cold Storages,Akola,Shri. R Y Hundiwale & D R Hundiwale,Kanheri Sarap,,,300.0
196,Cold Storages,Akola,Shri. Ramdas Bhaskar Ippar,Lotkhed,,,143.0
197,Cold Storages,Akola,Shri. Ramdas Bhaskar Ippar,Lotkhed,,,106.0
198,Cold Storages,Akola,Shri. Sattar Suleman Wai Mahan,Wai,,,155.0
199,Cold Storages,Akola,Shri. Shrikant Rameshrao Ugale,Sawargam,,,205.38
200,Cold Storages,Akola,Shri. Sunil Nilkanthrao Ugale,Sawargam,,,205.38
201,Cold Storages,Akola,Shri. Suresh Nathuji Pagrut,Mauza Ghusar,,,100.0
202,Cold Storages,Akola,Shri.Haridas Manikrao Gawande & M D Gawande,Ghota,,,165.0
203,Cold Storages,Akola,ShriSudam Daulatrao Kale,Sonori,,,100.0
204,Cold Storages,Akola,Shridhar Vyankatrao Deshmukh,Khel Satwaji,,,133.0
205,Cold Storages,Akola,Shrikrishna Rambhau Pagrut,Ghusar,,,100.0
206,Cold Storages,Akola,Shrikrishna T Pagrut,Aliyabad,,,107.0
207,Cold Storages,Akola,Shrikrishna Wasudeo Dhage,Vallabhanagar,,,254.0
208,Cold Storages,Akola,Shriram Vishwanathappa Punewar,Poha,,,100.0
209,Cold Storages,Akola,Sk Mehboob Sk Saudagar,"Gut No. 115/1, Mauje Dabki, Tal & Dist: Akola",,,659.0
210,Cold Storages,Akola,Smt Aruna Yugalkoshore Biyani,"A/P Kumbhari, Tq. Akot, Akola",,,273.131
211,Cold Storages,Akola,Smt Sangeeta Ganesh Korade,"Hingani, Tal: Telhara, Dist: Akola",,,168.0
212,Cold Storages,Akola,Smt Shobhadevi Vinodkumar Goenka,"Akola Akot Road, Village: Siloda, Tal & Dist: Akola",,,825.0
213,Cold Storages,Akola,Smt Sunita Dilip Boob,"Gut No. 146, Mouje: Kandi, Tal & Dist: Akola",,,980.47
214,Cold Storages,Akola,Smt. Jayshree Pankaj Mule,"At Sonkhas, Tal. Akola, Dist. Akola",,,200.0
215,Cold Storages,Akola,Smt. Manoramabai Yadavrao Gawande,"Mz.Nimbi(Kd),Tq.Barshi-Taqli",,,100.949
216,Cold Storages,Akola,Smt. Tulsabai Devkaranji Agrawal,"S.No. 299/1, 326/2A, Mouje Sirso, Tal. Murtizapur, Dist Akola",,,1211.1
217,Cold Storages,Akola,Sou Chitrakala Balkrishna Pagrut,Aliyabad,,,107.0
218,Cold Storages,Akola,Sou Jebunisa Raffioddin,Barshitakli,,,250.0
219,Cold Storages,Akola,Sou Kokilabai Gajanan Tale,Aliyabad,,,102.0
220,Cold Storages,Akola,Sou Parvati U Nage,Wakhapur,,,205.0
221,Cold Storages,Akola,Sou Ramabai Nandlal Agrawal � Godown No 1,"Plot No.6, S No. 157/1, At Mouje: Khanapur Trambakpur, Tal: Akot, Dist: Akola",,,989.52
222,Cold Storages,Akola,Sou Ramabai Nandlal Agrawal � Godown No.2,"Plot No.6, S No. 157/1, At Mouje: Khanapur Trambakpur, Tal: Akot, Dist: Akola",,,333.25
223,Cold Storages,Akola,Sou Shakuntalabai T Murumkar,Chachandi,,,100.0
224,Cold Storages,Akola,Subhash Kanhaiyalal Jain,"F S No. 46/1, At Mouje: Alegaon, Tal:Patur. Dist: Akola",,,222.0
225,Cold Storages,Akola,Sudhakar Mahadeo Pagrut,Aliyabad,,,100.0
226,Cold Storages,Akola,Suresh Ranglal Dyama,"Sr.No.5, MouzaTelhara Bk, A/P Telhara, Akola",,,191.0
227,Cold Storages,Akola,Syd. Athar Syd. Husain,Akola,,,106.0
228,Cold Storages,Akola,Ujwal Dnyandevrao Gawande,"Jalalabad, Tal. & Dist. Akola",,,100.0
229,Cold Storages,Akola,V.B.Rajgure,Hirpur,,,225.0
230,Cold Storages,Akola,Vajanathappa V Gondal,Malegaon,,,100.0
231,Cold Storages,Akola,Vinod V Pawade,Guddhi,,,100.0
232,Cold Storages,Akola,Vishnu Nathuji Pagrut,Kharap,,,100.0
233,Cold Storages,Akola,Vishwasrao Tulshiram Sable,Tiptala,,,100.0
234,Cold Storages,Amravati,Algudewadi V.K.S.Seva Socy. Ltd.,Rama,,,100.0
235,Cold Storages,Amravati,Anandilal Ramjivanji Sikchi,Borgaon,,,108.504
236,Cold Storages,Amravati,Anant Nagri Credit Co-Op Society Ltd.,Jalu,,,2200.0
237,Cold Storages,Amravati,Dr. Devisingh R Shekhawat,"At Chandrapur, Post Khallar, Tq. Daryapur, Dist. Amravati",,,250.0
238,Cold Storages,Amravati,"Gajanan Shrihari Wankhade,Mahuli Jahagir","At P.No.9,Sno-54,Mahuli Jahagir",,,125.7
239,Cold Storages,Amravati,Gajanan Shyamrao Gulhane,Malkapur. Morshi,,,50.0
240,Cold Storages,Amravati,Ganesh Premraj Rathi,Ner Pinglai,,,200.0
241,Cold Storages,Amravati,Gangaram Sugnamal Asnani,"Plot No. 62/3, Mouza Jawra, Tal. Nandgaon Khnadeshwar",,,987.0
242,Cold Storages,Amravati,Govardhan Shamraoji Jayale,"Jainpur,P-Kharala,Tq:Chandur Bazar",,,167.4
243,Cold Storages,Amravati,"ITC Limited,Virginia House,Kalkota (Godown In Amravati )","Gno-19,Degaon,Tq.& Dist. Amravati",,,5822.53
244,Cold Storages,Amravati,Javed Ahmed Nazir Ahmed,Hirapur,,,123.0
245,Cold Storages,Amravati,M.G.Chandak,"Mz: Bourda,Tq:Teosa",,,100.0
246,Cold Storages,Amravati,M/S APMC Anjangaon Surji,Anjangaon Surji,,,254.0
247,Cold Storages,Amravati,"M/S APMC, Warud",Warud,,,333.0
248,Cold Storages,Amravati,"M/S APMC, Warud-Sub Market At Gadegaon",Warud,,,333.0
249,Cold Storages,Amravati,"M/S APMC, Warud-Sub Market Yard At Loni",Warud,,,333.0
250,Cold Storages,Amravati,"M/S APMC, Warud-Sub Market Yard Dhaga",Warud,,,333.0
251,Cold Storages,Amravati,"M/S GB Warehouse, Purnanagar",Purnanagar,,,528.0
252,Cold Storages,Amravati,M/S Jai Durga Industries,"Gno-122(Godown-1),At Ganeshpur,Tq.Daryapur",,,996.061
